entry_time,entry_price,signal_type,tp_price,sl_price,exit_time,exit_price,exit_type,pnl_pct
2023-09-21 11:00:00,26734.9,강력한 반전 (BB 찢고 복귀),27135.923499999997,26467.551,2023-09-21 13:30:00,26467.551,SL,-1.0000000000000073
2023-09-21 13:45:00,26407.6,역추세 반등 (BB 하단),26671.676,26143.523999999998,2023-09-21 17:45:00,26671.676,TP,1.0000000000000036
2023-09-21 14:00:00,26494.0,역추세 반등 (BB 하단),26758.94,26229.06,2023-09-22 14:00:00,26615.4,Time Stop,0.4582169547822203
2023-09-21 14:00:00,26494.0,강력한 반전 (BB 찢고 복귀),26891.409999999996,26229.06,2023-09-22 14:00:00,26615.4,Time Stop,0.4582169547822203
2023-09-21 20:30:00,26552.5,강력한 반전 (BB 찢고 복귀),26950.7875,26286.975,2023-09-22 20:30:00,26509.8,Time Stop,-0.16081348272291018
2023-09-22 00:30:00,26604.1,강력한 반전 (BB 찢고 복귀),27003.161499999995,26338.058999999997,2023-09-23 00:30:00,26565.8,Time Stop,-0.14396277265533988
2023-09-22 00:45:00,26626.5,추세확정 (BB 상단 돌파),27159.03,26360.235,2023-09-23 00:45:00,26592.4,Time Stop,-0.1280679022778005
2023-09-22 01:15:00,26634.8,추세확정 (BB 상단 돌파),27167.496,26368.451999999997,2023-09-23 01:15:00,26567.5,Time Stop,-0.25267694895399734
2023-09-22 08:00:00,26710.0,추세확정 (BB 상단 돌파),27244.2,26442.9,2023-09-23 08:00:00,26566.4,Time Stop,-0.537626357169594
2023-09-22 13:00:00,26585.2,강력한 반전 (BB 찢고 복귀),26983.978,26319.348,2023-09-23 13:00:00,26552.6,Time Stop,-0.12262461820863556
2023-09-22 13:45:00,26602.0,강력한 반전 (BB 찢고 복귀),27001.03,26335.98,2023-09-23 13:45:00,26563.2,Time Stop,-0.14585369521088368
2023-09-22 14:45:00,26664.9,추세확정 (BB 상단 돌파),27198.198,26398.251,2023-09-23 14:45:00,26552.1,Time Stop,-0.4230280256067073
2023-09-22 17:45:00,26563.5,강력한 반전 (BB 찢고 복귀),26961.952499999996,26297.864999999998,2023-09-23 17:45:00,26586.2,Time Stop,0.08545560637717442
2023-09-22 20:45:00,26524.3,강력한 반전 (BB 찢고 복귀),26922.164499999995,26259.057,2023-09-23 20:45:00,26576.0,Time Stop,0.1949156056898796
2023-09-22 21:15:00,26525.3,역추세 반등 (BB 하단),26790.553,26260.047,2023-09-23 21:15:00,26581.1,Time Stop,0.21036519850859092
2023-09-22 21:15:00,26525.3,강력한 반전 (BB 찢고 복귀),26923.1795,26260.047,2023-09-23 21:15:00,26581.1,Time Stop,0.21036519850859092
2023-09-23 03:15:00,26539.8,강력한 반전 (BB 찢고 복귀),26937.896999999997,26274.402,2023-09-24 03:15:00,26569.0,Time Stop,0.11002343649914742
2023-09-23 04:00:00,26521.9,강력한 반전 (BB 찢고 복귀),26919.728499999997,26256.681,2023-09-24 04:00:00,26557.4,Time Stop,0.13385164712935346
2023-09-23 06:45:00,26563.0,추세확정 (BB 상단 돌파),27094.260000000002,26297.37,2023-09-24 06:45:00,26539.1,Time Stop,-0.08997477694538063
2023-09-23 15:30:00,26540.1,역추세 반등 (BB 하단),26805.501,26274.698999999997,2023-09-24 15:30:00,26557.9,Time Stop,0.06706832302818343
2023-09-23 15:30:00,26540.1,강력한 반전 (BB 찢고 복귀),26938.201499999996,26274.698999999997,2023-09-24 15:30:00,26557.9,Time Stop,0.06706832302818343
2023-09-23 16:45:00,26595.9,추세확정 (BB 상단 돌파),27127.818000000003,26329.941000000003,2023-09-24 16:45:00,26559.4,Time Stop,-0.1372391985230806
2023-09-23 18:00:00,26615.8,추세확정 (BB 상단 돌파),27148.115999999998,26349.642,2023-09-24 18:00:00,26680.0,Time Stop,0.2412101082815498
2023-09-24 04:45:00,26556.9,역추세 반등 (BB 하단),26822.469,26291.331000000002,2023-09-24 23:15:00,26291.331000000002,SL,-0.9999999999999981
2023-09-24 04:45:00,26556.9,강력한 반전 (BB 찢고 복귀),26955.2535,26291.331000000002,2023-09-24 23:15:00,26291.331000000002,SL,-0.9999999999999981
2023-09-24 08:30:00,26569.6,추세확정 (BB 상단 돌파),27100.992,26303.904,2023-09-24 19:15:00,26303.904,SL,-0.9999999999999997
2023-09-24 15:15:00,26559.7,역추세 반등 (BB 하단),26825.297000000002,26294.103,2023-09-24 23:15:00,26294.103,SL,-1.000000000000006
2023-09-24 15:15:00,26559.7,강력한 반전 (BB 찢고 복귀),26958.0955,26294.103,2023-09-24 23:15:00,26294.103,SL,-1.000000000000006
2023-09-24 16:30:00,26560.0,역추세 반등 (BB 하단),26825.6,26294.4,2023-09-24 23:15:00,26294.4,SL,-0.9999999999999944
