datetime,L_value,L_num
2020-10-08 01:30:00,10613.5,613
2020-10-08 09:00:00,10532.0,614
2020-10-08 18:30:00,10845.0,615
2020-10-09 00:30:00,10858.0,616
2020-10-09 06:00:00,10826.0,617
2020-10-09 14:30:00,11031.5,618
2020-10-09 19:00:00,11009.5,619
2020-10-10 10:00:00,11248.0,620
2020-10-10 15:45:00,11315.0,621
2020-10-10 23:30:00,11274.0,622
2020-10-11 04:30:00,11312.0,623
2020-10-11 13:00:00,11341.5,624
2020-10-11 21:00:00,11290.0,625
2020-10-12 07:00:00,11340.0,626
2020-10-12 10:30:00,11200.0,627
2020-10-12 20:00:00,11536.5,628
2020-10-13 03:00:00,11427.5,629
2020-10-13 07:15:00,11440.0,630
2020-10-13 10:00:00,11390.5,631
2020-10-14 00:00:00,11413.0,632
2020-10-14 04:00:00,11373.0,633
2020-10-14 12:00:00,11360.5,634
2020-10-14 15:45:00,11295.0,635
2020-10-14 18:30:00,11296.5,636
2020-10-15 03:00:00,11366.5,637
2020-10-15 09:45:00,11260.0,638
2020-10-15 21:00:00,11448.0,639
2020-10-16 00:00:00,11467.5,640
2020-10-16 04:15:00,11203.5,641
2020-10-16 09:15:00,11231.0,642
2020-10-16 15:15:00,11295.0,643
2020-10-16 20:00:00,11286.0,644
2020-10-17 00:30:00,11276.0,645
2020-10-17 09:30:00,11317.5,646
2020-10-17 14:45:00,11260.5,647
2020-10-18 09:45:00,11400.0,648
2020-10-18 20:15:00,11408.5,649
2020-10-19 04:00:00,11406.5,650
2020-10-19 20:15:00,11661.0,651
2020-10-20 01:45:00,11679.0,652
2020-10-20 08:00:00,11698.0,653
2020-10-20 11:15:00,11721.5,654
2020-10-20 20:15:00,11856.0,655
2020-10-21 09:00:00,12127.0,656
2020-10-21 19:45:00,12679.5,657
2020-10-21 23:00:00,12728.0,658
2020-10-22 04:30:00,12701.5,659
2020-10-22 09:00:00,12715.0,660
2020-10-22 12:30:00,12819.0,661
2020-10-23 00:30:00,12856.5,662
2020-10-23 08:00:00,12877.5,663
