lh_num,lh_time,lh_price,lh_pct,bb_position,bb_squeeze,bb_width,trend_1h,trend_4h,short_score,long_score,short_ratio,long_ratio,judgment,result,max_gain,max_drop
127,2020-06-03 19:00:00,9622.0,-0.20742584526032282,above_upper,tight,0.7634234454278069,uptrend,sideways,65,10,86.66666666666667,13.333333333333334,강력 숏,sideways,0.743088754936605,-1.018499272500517
128,2020-06-04 03:45:00,9685.0,-0.08768762572858302,upper_half,tight,0.9278059453953592,uptrend,sideways,55,10,84.61538461538461,15.384615384615385,강력 숏,drop,1.760454310789883,-2.3231801755291714
129,2020-06-04 07:30:00,9660.5,-0.2529685080020605,upper_half,tight,0.5408208798052908,uptrend,downtrend,75,10,88.23529411764706,11.76470588235294,강력 숏,drop,2.2307333988923927,-2.075461932612188
130,2020-06-04 23:15:00,9860.0,-0.1620089104900746,above_upper,tight,1.1088861323889487,uptrend,sideways,65,10,86.66666666666667,13.333333333333334,강력 숏,drop,-0.020283975659229903,-2.6267748478701836
131,2020-06-05 08:30:00,9851.5,-0.08620689655172153,above_upper,tight,0.8175747695230131,sideways,sideways,65,0,100.0,0.0,강력 숏,drop,-0.015226107699339853,-2.542759985788967
132,2020-06-05 18:45:00,9753.5,-0.9947723696899002,upper_half,tight,0.9010365913470995,uptrend,sideways,55,10,84.61538461538461,15.384615384615385,강력 숏,drop,-0.10765366278772115,-2.209463269595535
133,2020-06-06 03:45:00,9644.0,-1.1226739119290507,upper_half,tight,1.1973127260486305,sideways,downtrend,75,0,100.0,0.0,강력 숏,sideways,0.8917461634176727,-0.6377021982579834
134,2020-06-06 20:45:00,9715.5,-0.14902363823227072,above_upper,tight,1.1218319878957592,uptrend,sideways,65,10,86.66666666666667,13.333333333333334,강력 숏,sideways,-0.025732077607942827,-1.6159744737790138
135,2020-06-06 23:45:00,9701.0,-0.14924605012608394,upper_half,tight,0.9419161602495809,sideways,sideways,55,0,100.0,0.0,강력 숏,drop,0.09277394083084811,-2.303886197299243
136,2020-06-07 08:45:00,9678.0,-0.32955715756951554,upper_half,tight,0.6984558543640712,sideways,sideways,55,0,100.0,0.0,강력 숏,drop,1.338086381483783,-3.0739822277330076
